algo,iter,train_s,eval_s,train_len_mean,det_p1,det_p2,det_draw,stoch_p1,stoch_p2,stoch_draw
APPO,50,10.034475326538086,62.49284267425537,50.2,0.48,0.52,0.0,0.59,0.41,0.0
APPO,100,10.05391788482666,67.4498839378357,47.77,0.52,0.48,0.0,0.7,0.3,0.0
APPO,150,10.314917087554932,56.82553267478943,48.53,0.64,0.36,0.0,0.68,0.32,0.0
APPO,200,10.228317975997925,58.344292402267456,51.22,0.62,0.38,0.0,0.59,0.41,0.0
APPO,250,10.090122699737549,56.55497431755066,50.13,0.68,0.32,0.0,0.6,0.4,0.0
APPO,300,10.335309505462646,54.645403146743774,49.99,0.68,0.32,0.0,0.58,0.42,0.0
APPO,350,10.28347635269165,54.77544713020325,49.24,0.57,0.43,0.0,0.58,0.42,0.0
APPO,400,10.188658237457275,53.75008034706116,50.76,0.51,0.49,0.0,0.61,0.39,0.0
APPO,450,10.020541906356812,54.39717125892639,49.94,0.54,0.46,0.0,0.56,0.44,0.0
APPO,500,10.085747718811035,52.93241357803345,49.74,0.58,0.42,0.0,0.66,0.34,0.0
APPO,550,10.36877727508545,52.42512512207031,50.1,0.5,0.5,0.0,0.58,0.42,0.0
APPO,600,10.270534992218018,52.34571981430054,50.1,0.53,0.47,0.0,0.58,0.42,0.0
APPO,650,10.20101022720337,48.260292291641235,49.36,0.59,0.41,0.0,0.57,0.43,0.0
APPO,700,10.096837520599365,49.990787744522095,49.85,0.59,0.41,0.0,0.54,0.46,0.0
APPO,750,10.208837032318115,49.18734264373779,50.45,0.59,0.41,0.0,0.64,0.36,0.0
APPO,800,10.333306312561035,46.82527685165405,49.17,0.61,0.39,0.0,0.54,0.46,0.0
APPO,850,10.243646383285522,47.738675355911255,49.91,0.61,0.39,0.0,0.65,0.35,0.0
APPO,900,10.17322564125061,49.16538119316101,50.2,0.56,0.44,0.0,0.54,0.46,0.0
APPO,950,10.32984447479248,51.05514430999756,51.75,0.46,0.54,0.0,0.49,0.51,0.0
APPO,1000,10.303502321243286,26.23222780227661,48.96,0.58,0.42,0.0,0.42,0.58,0.0
IMPALA,50,10.073972940444946,66.37982821464539,52.05,0.49,0.51,0.0,0.45,0.55,0.0
IMPALA,100,10.166756868362427,54.779218912124634,50.22,0.47,0.53,0.0,0.61,0.39,0.0
IMPALA,150,10.071785926818848,54.64547848701477,50.27,0.57,0.43,0.0,0.62,0.38,0.0
IMPALA,200,10.239755630493164,48.69662094116211,50.58,0.63,0.37,0.0,0.55,0.45,0.0
IMPALA,250,10.136605978012085,48.738795042037964,49.53,0.71,0.29,0.0,0.7,0.3,0.0
IMPALA,300,10.178937196731567,48.106022119522095,48.7,0.66,0.34,0.0,0.73,0.27,0.0
